lane,last_hits,denies,gold_per_min,xp_per_min,tower_damage,hero_damage,hero_healing,camps_stacked,kills,deaths,assists,sen_placed,obs_placed,match_id,start_time,win,hero_id,account_id,leaguename
3,46,2,258,336,0,9505,0,0,3,8,8,1,1,5926366667,1617517624,FALSE,7,199347376,Oceanic Esports Dota League Season 3
1,46,3,304,550,528,13050,0,2,3,7,19,4,6,5843401854,1613671003,TRUE,7,117483894,DPC Winter 21 League (EEU) presented by ESL One
3,55,1,295,449,462,18336,0,2,3,7,18,1,4,5815428367,1612300859,TRUE,7,109512357,DPC Winter 21 League (WEU) presented by DreamLeague
2,60,0,265,331,0,6288,400,0,3,7,15,21,10,5868128697,1614932272,FALSE,7,89871557,Moon Studio Asia 
3,44,3,296,491,707,12928,800,1,3,7,14,8,9,5853903202,1614179175,TRUE,7,185996267,DPC Winter 21 League (WEU) presented by DreamLeague
3,118,1,321,494,203,16526,400,4,3,7,12,2,3,5830562176,1613122223,FALSE,7,83978988,Oceanic Esports Dota League Season 3
3,56,3,238,326,21,14899,849,0,3,7,9,2,7,5925990687,1617494960,FALSE,7,85312703,DPC Spring 21 Qualifier (SA) presented by OGA
1,66,9,264,282,0,16671,85,3,3,7,8,1,1,5829073773,1613051701,FALSE,7,205517338,DPC Winter 21 League (EEU) presented by ESL One
3,81,2,329,570,63,17032,0,5,3,6,22,5,8,5834785816,1613300778,TRUE,7,156029808,Moon Studio Asia 
3,137,1,347,536,183,17238,0,1,3,6,20,9,13,5833423026,1613235381,TRUE,7,92601861,DPC Winter 21 League (WEU) presented by DreamLeague
1,48,2,236,394,0,11563,0,0,3,6,18,6,8,5823712184,1612789563,TRUE,7,314584168,Snow Sweet Snow #1
1,72,2,313,547,0,8452,0,0,3,6,13,1,8,5827942553,1612986922,TRUE,7,98172857,DPC Winter 21 League (WEU) presented by DreamLeague
1,107,0,287,441,1764,8268,0,0,3,6,10,8,6,5859289071,1614446922,TRUE,7,491440851,سایبرکاپ
3,45,1,347,413,0,6573,0,1,3,6,10,3,3,5841104023,1613570466,TRUE,7,185996267,DPC Winter 21 League (WEU) presented by DreamLeague
3,95,3,332,477,99,16788,525,2,3,5,28,1,5,5829695842,1613073619,TRUE,7,156331087,DPC Winter 21 League (SA) presented by OGA
1,71,0,311,570,166,19326,0,1,3,5,24,2,5,5849415611,1613948429,TRUE,7,98462965,DPC Winter 21 League (NA) presented by BTS
3,87,1,374,539,2961,17895,0,1,3,5,22,5,5,5841364765,1613578527,TRUE,7,185996267,DPC Winter 21 League (WEU) presented by DreamLeague
3,44,4,344,485,83,11964,400,3,3,5,22,2,3,5838469068,1613461555,TRUE,7,107336431,LPL Pro Dota 2 Season 1 2021
1,51,4,273,570,298,20288,236,3,3,5,21,11,6,5868236278,1614937117,FALSE,7,297312417,Asian New Bloom
3,81,0,358,571,305,15463,0,3,3,5,20,1,4,5841831098,1613602833,TRUE,7,349310876,DPC Winter 21 League (SA) presented by OGA
3,148,3,334,464,983,16102,0,0,3,5,13,1,2,5886976684,1615731443,FALSE,7,150074590,Кубок TMeSF
3,187,1,399,425,0,13667,0,3,3,5,7,1,1,5860511858,1614509713,FALSE,7,88271237,DPC Winter 21 League (WEU) presented by DreamLeague
1,233,0,447,545,816,25855,0,1,3,4,23,16,11,5820261375,1612609337,TRUE,7,155494381,DPC Winter 21 League (SEA) presented by PGL
1,63,0,373,590,857,10552,1136,4,3,4,21,11,10,5958753429,1619081070,TRUE,7,93616251,DPC 2021 Season 2 Lower League (SEA) presented by PGL
2,70,1,343,537,0,10272,0,3,3,4,19,6,11,5821651966,1612685808,TRUE,7,96708830,WCAA冬季电子竞技挑战赛
1,61,0,281,438,44,11562,0,2,3,4,14,1,2,5968064626,1619561082,TRUE,7,38628747,DPC Spring 21 Upper Division (NA) presented by BTS
1,52,4,287,457,0,8669,0,2,3,4,10,1,2,5829839857,1613081944,TRUE,7,1031547092,DPC Winter 21 League (SA) presented by OGA
1,90,3,371,701,195,18721,0,1,3,3,31,2,2,5817178873,1612424474,TRUE,7,278683370,Oceanic Esports Dota League Season 3
1,39,0,312,496,800,16340,0,1,3,3,16,2,2,5822638630,1612728050,TRUE,7,98462965,DPC Winter 21 League (NA) presented by BTS
3,59,4,307,445,0,11843,0,2,3,3,15,2,6,5858284957,1614413214,TRUE,7,150961567,CDA-FDC富名文贺DOTA2职业锦标赛
